car_brand,car_name,year,km_driven,fuel,transmission,price,city
Toyota,Toyota Innova Crysta2.4 VX MT 8S BSIV,2016,"1,19,237kms",Diesel,Manual,₹11.35 Lakh,kolkata
Renault,Renault KWIDClimber 1.0 MT,2017,"47,305kms",Petrol,Manual,₹2.84 Lakh,kolkata
Hyundai,Hyundai Xcent1.1 CRDi S,2014,"66,000kms",Diesel,Manual,₹2.65 Lakh,kolkata
Skoda,Skoda SuperbElegance 1.8 TSI,2013,"67,000kms",Petrol,Manual,₹2.99 Lakh,kolkata
Mahindra,Mahindra TUV 300T4 Plus BSIV,2020,"80,000kms",Diesel,Manual,₹5.75 Lakh,kolkata
Honda,Honda AmazeS Option i-VTEC,2017,"40,000kms",Petrol,Manual,₹2.75 Lakh,kolkata
Honda,Honda AmazeS i-Dtech,2013,"57,244kms",Diesel,Manual,₹2.21 Lakh,kolkata
Honda,Honda JazzSelect Edition,2012,"42,000kms",Petrol,Manual,₹2.25 Lakh,kolkata
Renault,Renault DusterRXS Option CVT BSIV,2019,"50,000kms",Petrol,Automatic,₹5.50 Lakh,kolkata
Hyundai,Hyundai Grand i10Sportz,2015,"60,870kms",Petrol,Manual,₹2.85 Lakh,kolkata
Maruti,Maruti SwiftVXI,2013,"1,15,826kms",Petrol,Manual,₹2.05 Lakh,kolkata
Hyundai,Hyundai Grand i10Sportz,2015,"60,870kms",Petrol,Manual,₹2.85 Lakh,kolkata
Maruti,Maruti Swift DzireLDI,2013,"49,000kms",Diesel,Manual,₹2.53 Lakh,kolkata
Hyundai,Hyundai Elantra1.6 SX Option AT,2017,"58,000kms",Diesel,Automatic,₹7.49 Lakh,kolkata
Mahindra,Mahindra ScorpioS3 7 Seater,2018,"87,000kms",Diesel,Manual,₹8.25 Lakh,kolkata
Jeep,Jeep Compass2.0 Limited Option,2018,"34,000kms",Diesel,Manual,₹7.50 Lakh,kolkata
Jeep,Jeep Compass2.0 Limited Option,2018,"34,000kms",Diesel,Manual,₹7.50 Lakh,kolkata
Toyota,Toyota Innova2.5 G (Diesel) 7 Seater BS IV,2015,"20,000kms",Diesel,Manual,₹7.25 Lakh,kolkata
Hyundai,Hyundai CretaSX BSVI,2020,"54,247kms",Petrol,Manual,₹9.50 Lakh,kolkata
Mahindra,Mahindra ScorpioS3 7 Seater,2018,"65,000kms",Diesel,Manual,₹8.45 Lakh,kolkata
Toyota,Toyota Innova2.5 G (Diesel) 8 Seater,2014,"65,000kms",Diesel,Manual,₹7.85 Lakh,kolkata
Honda,Honda CR-V2.4L 4WD AT,2016,"51,000kms",Petrol,Automatic,₹6.41 Lakh,kolkata
Jeep,Jeep Compass2.0 Limited Option,2018,"50,000kms",Diesel,Manual,₹6.86 Lakh,kolkata
,Force GurkhaXpedition,2019,"51,000kms",Diesel,Manual,₹7.67 Lakh,kolkata
Renault,Renault KigerRXZ Turbo CVT,2024,"16,524kms",Petrol,Automatic,₹7.85 Lakh,kolkata
Hyundai,Hyundai Elantra1.6 SX Option AT,2019,"44,000kms",Diesel,Automatic,₹9.89 Lakh,kolkata
Skoda,Skoda Kodiaq2.0 TDI Laurin Klement,2019,"40,000kms",Diesel,Automatic,₹18 Lakh,kolkata
Skoda,Skoda Kodiaq2.0 TDI Laurin Klement,2019,"67,186kms",Diesel,Automatic,₹19 Lakh,kolkata
Skoda,Skoda Kodiaq2.0 TDI Laurin Klement,2019,"67,186kms",Diesel,Automatic,₹19 Lakh,kolkata
MG,MG Hector PlusSharp Pro SNOWSTORM 7Str Diesel  -2025,2024,"10,000kms",Diesel,Manual,₹16 Lakh,kolkata
MG,MG AstorSharp EX BSVI,2022,"39,214kms",Petrol,Manual,₹8.50 Lakh,kolkata
MG,MG HectorSharp DCT,2020,"34,669kms",Petrol,Automatic,₹9.75 Lakh,kolkata
Kia,Kia SeltosHTX IVT G,2019,"38,260kms",Petrol,Automatic,₹8.06 Lakh,kolkata
