car_brand,car_name,year,km_driven,fuel,transmission,price,city
Tata,Tata TigorXZ Plus CNG BSVI,2022,"55,000kms",CNG,Manual,₹4.85 Lakh,delhi-ncr
Mercedes-Benz,Mercedes-Benz GLS350d Grand Edition,2019,"54,000kms",Diesel,Automatic,₹42 Lakh,delhi-ncr
Toyota,Toyota Innova Crysta2.4 VX MT BSIV,2018,"1,44,000kms",Diesel,Manual,₹14.25 Lakh,delhi-ncr
MG,MG HectorSmart DCT,2019,"31,000kms",Petrol,Automatic,₹9.90 Lakh,delhi-ncr
Hyundai,Hyundai CretaEX BSVI,2021,"58,000kms",Petrol,Manual,₹8.50 Lakh,delhi-ncr
Maruti,Maruti BrezzaLxi CNG,2025,"20,000kms",CNG,Manual,₹9 Lakh,delhi-ncr
Maruti,Maruti ErtigaBSIV ZXI,2016,"71,000kms",Petrol,Manual,₹4.95 Lakh,delhi-ncr
Kia,Kia SonetHTX Turbo DCT,2023,"30,000kms",Petrol,Automatic,₹9.90 Lakh,delhi-ncr
Hyundai,Hyundai Verna1.6 VTVT,2014,"58,000kms",Petrol,Manual,₹2.80 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2017,"68,000kms",Petrol,Manual,₹5.70 Lakh,delhi-ncr
MG,MG HectorSharp DCT,2020,"47,000kms",Petrol,Automatic,₹9.92 Lakh,delhi-ncr
BMW,BMW X1sDrive20i xLine,2017,"61,000kms",Petrol,Automatic,₹16.50 Lakh,delhi-ncr
Hyundai,Hyundai VenueS BSIV,2020,"65,000kms",Petrol,Manual,₹5.80 Lakh,delhi-ncr
Toyota,Toyota Corolla AltisG AT,2015,"1,20,000kms",Petrol,Automatic,₹5.95 Lakh,delhi-ncr
Ford,Ford Ecosport1.5 Petrol Titanium Plus BSIV,2019,"42,000kms",Petrol,Manual,₹5.80 Lakh,delhi-ncr
Toyota,Toyota Etios LivaG,2014,"63,000kms",Petrol,Manual,₹2.70 Lakh,delhi-ncr
Mahindra,Mahindra TharLX Hard Top,2023,"32,000kms",Petrol,Manual,₹12.75 Lakh,delhi-ncr
Hyundai,Hyundai i20Asta 1.2,2015,"65,000kms",Petrol,Manual,₹3.85 Lakh,delhi-ncr
Maruti,Maruti Alto 800LXI,2020,"30,000kms",Petrol,Manual,₹2.60 Lakh,delhi-ncr
Tata,Tata TiagoXT BSVI,2022,"22,000kms",Petrol,Manual,₹4.60 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.6 VTVT AT SX Plus,2016,"59,861kms",Petrol,Automatic,₹6.75 Lakh,delhi-ncr
Skoda,Skoda Octavia1.8 TSI AT L K,2017,"50,000kms",Petrol,Automatic,₹7.50 Lakh,delhi-ncr
Kia,Kia SonetGTX Plus Turbo DCT DT,2020,"1,11,598kms",Petrol,Automatic,₹7.95 Lakh,delhi-ncr
Toyota,Toyota Etios1.5 VX,2017,"67,320kms",Petrol,Manual,₹4.95 Lakh,delhi-ncr
Hyundai,Hyundai CretaS BSVI,2020,"61,281kms",Petrol,Manual,₹9.50 Lakh,delhi-ncr
Volkswagen,Volkswagen Polo1.2 MPI Comfortline,2014,"61,000kms",Petrol,Manual,₹2.99 Lakh,delhi-ncr
Ford,Ford Ecosport1.5 Petrol Titanium BSIV,2018,"65,000kms",Petrol,Manual,₹5.15 Lakh,delhi-ncr
Hyundai,Hyundai Xcent1.2 VTVT E Plus,2017,"60,000kms",Petrol,Manual,₹3.25 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2017,"70,000kms",Petrol,Manual,₹6.50 Lakh,delhi-ncr
