,car_brand,car_name,year,km_driven,fuel,transmission,price,city
1045,Volkswagen,Volkswagen Tiguan2.0 TDI Highline,2017,"73,000kms",Diesel,Automatic,₹17.99 Lakh,Hyderabad
1046,Mahindra,Mahindra ScorpioS,2024,"24,000kms",Diesel,Manual,₹15.25 Lakh,Hyderabad
1047,Toyota,Toyota Innova Crysta2.4 G MT BSIV,2017,"1,86,000kms",Diesel,Manual,₹15.95 Lakh,Hyderabad
1048,Mahindra,Mahindra XUV500W11 Option AWD,2019,"1,32,000kms",Diesel,Manual,₹11.50 Lakh,Hyderabad
1049,Toyota,Toyota Innova Crysta2.4 G 7 STR,2021,"1,23,000kms",Diesel,Manual,₹21.10 Lakh,Hyderabad
1050,Kia,Kia CarnivalLimousine,2020,"85,600kms",Diesel,Automatic,₹26.50 Lakh,Hyderabad
1051,Ford,Ford Endeavour3.2 Titanium AT 4X4,2019,"88,000kms",Diesel,Automatic,₹28 Lakh,Hyderabad
1052,Audi,Audi A635 TDI,2018,"79,000kms",Diesel,Automatic,₹22.45 Lakh,Hyderabad
1053,Mahindra,Mahindra TharLX Hard Top AT,2021,"29,038kms",Petrol,Automatic,₹11.93 Lakh,Hyderabad
1054,Maruti,Maruti SwiftZXI,2015,"65,429kms",Petrol,Manual,₹3.72 Lakh,Hyderabad
1055,Honda,Honda JazzV,2016,"74,597kms",Petrol,Manual,₹4.62 Lakh,Hyderabad
1056,Maruti,Maruti Alto 800LXi,2021,"22,037kms",Petrol,Manual,₹3.33 Lakh,Hyderabad
1057,Ford,Ford AspireTitanium Plus,2019,"63,356kms",Petrol,Manual,₹3.62 Lakh,Hyderabad
1058,Renault,Renault TriberRXZ BSVI,2022,"29,516kms",Petrol,Manual,₹5.58 Lakh,Hyderabad
1059,Renault,Renault KWID1.0 RXT Opt,2018,"23,997kms",Petrol,Manual,₹3.62 Lakh,Hyderabad
1060,Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2016,"1,43,840kms",Petrol,Manual,₹3.75 Lakh,Hyderabad
1061,Maruti,Maruti Ignis1.2 AMT Zeta BSIV,2017,"87,433kms",Petrol,Automatic,₹4.61 Lakh,Hyderabad
1062,Maruti,Maruti DzireZXI Plus,2020,"51,519kms",Petrol,Manual,₹5.98 Lakh,Hyderabad
1063,Honda,Honda AmazeVX CVT i-VTEC,2017,"74,617kms",Petrol,Automatic,₹5.19 Lakh,Hyderabad
1064,Renault,Renault KWID1.0 RXT Opt,2018,"23,997kms",Petrol,Manual,₹3.62 Lakh,Hyderabad
1065,Hyundai,Hyundai Grand i10Magna AT,2016,"80,179kms",Petrol,Automatic,₹3.20 Lakh,Hyderabad
1066,Maruti,Maruti SwiftZXI,2015,"65,429kms",Petrol,Manual,₹3.72 Lakh,Hyderabad
1067,Honda,Honda JazzV,2016,"74,597kms",Petrol,Manual,₹4.62 Lakh,Hyderabad
1068,Maruti,Maruti Ignis1.2 AMT Zeta BSIV,2017,"1,03,288kms",Petrol,Automatic,₹3.39 Lakh,Hyderabad
1069,Maruti,Maruti DzireVXI,2018,"74,699kms",Petrol,Manual,₹5.57 Lakh,Hyderabad
1070,Renault,Renault TriberRXZ BSVI,2022,"29,516kms",Petrol,Manual,₹5.58 Lakh,Hyderabad
1071,Honda,Honda CityVX CVT,2017,"1,41,210kms",Petrol,Automatic,₹5.78 Lakh,Hyderabad
1072,Maruti,Maruti Wagon RAMT VXI,2018,"80,284kms",Petrol,Automatic,₹3.20 Lakh,Hyderabad
1073,Hyundai,Hyundai Grand i101.2 Kappa Magna BSIV,2018,"13,977kms",Petrol,Manual,₹4.63 Lakh,Hyderabad
1074,Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2016,"1,43,840kms",Petrol,Manual,₹3.75 Lakh,Hyderabad
1075,Maruti,Maruti Ignis1.2 AMT Zeta BSIV,2017,"87,433kms",Petrol,Automatic,₹4.61 Lakh,Hyderabad
1076,Maruti,Maruti DzireZXI Plus,2020,"51,519kms",Petrol,Manual,₹5.98 Lakh,Hyderabad
1077,Honda,Honda AmazeVX CVT i-VTEC,2017,"74,617kms",Petrol,Automatic,₹5.19 Lakh,Hyderabad
1078,Hyundai,Hyundai i201.2 Spotz,2018,"70,303kms",Petrol,Manual,₹4.85 Lakh,Hyderabad
1079,Honda,Honda CitySV MT,2014,"86,729kms",Petrol,Manual,₹4.41 Lakh,Hyderabad
1080,Ford,Ford Ecosport1.5 TDCi Ambiente BSIV,2013,"1,16,483kms",Diesel,Manual,₹3.92 Lakh,Hyderabad
1081,Maruti,Maruti Alto K10VXI Plus,2023,"1,806kms",Petrol,Manual,₹4.58 Lakh,Hyderabad
1082,Maruti,Maruti Alto 800VXI,2021,"52,523kms",Petrol,Manual,₹3.25 Lakh,Hyderabad
