car_brand,car_name,year,km_driven,fuel,transmission,price,city
Tata,Tata Nexon1.2 Revotron XM,2018,"96,091kms",Petrol,Manual,₹4 Lakh,jaipur
Tata,Tata Tigor1.2 Revotron XT,2018,"79,067kms",Petrol,Manual,₹3.16 Lakh,jaipur
Toyota,Toyota Innova Crysta2.4 G MT 8S BSIV,2017,"2,62,000kms",Diesel,Manual,₹10 Lakh,jaipur
Maruti,Maruti CiazDelta BSIV,2018,"41,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Hyundai,Hyundai i20Asta 1.2,2016,"54,000kms",Petrol,Manual,₹4.90 Lakh,jaipur
Maruti,Maruti Swift DzireVXI 1.2,2019,"56,000kms",Petrol,Manual,₹5.70 Lakh,jaipur
Mahindra,Mahindra XUV400 EVEC,2024,"50,000kms",Electric,Automatic,₹10.90 Lakh,jaipur
Maruti,Maruti Swift DzireVDI,2015,"71,000kms",Diesel,Manual,₹5.25 Lakh,jaipur
Honda,Honda AmazeS Petrol,2020,"46,000kms",Petrol,Manual,₹5.49 Lakh,jaipur
Hyundai,Hyundai i201.2 Asta,2018,"64,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Mahindra,Mahindra XUV400 EVEL Fast Charger,2023,"50,000kms",Electric,Automatic,₹14 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz E-ClassE250 CDI Elegance,2010,"67,000kms",Diesel,Automatic,₹5.99 Lakh,jaipur
Honda,Honda Brio1.2 S MT,2016,"55,000kms",Petrol,Manual,₹3.21 Lakh,jaipur
Hyundai,Hyundai i201.2 Asta,2018,"47,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Skoda,Skoda Rapid1.6 TDI Elegance Plus,2013,"88,000kms",Diesel,Manual,₹4.50 Lakh,jaipur
Hyundai,Hyundai i20Petrol Spotz,2019,"56,000kms",Petrol,Manual,₹5.65 Lakh,jaipur
Maruti,Maruti SwiftVDI BSIV,2017,"90,000kms",Diesel,Manual,₹5.50 Lakh,jaipur
