car_brand,car_name,year,km_driven,fuel,transmission,price,city
Volkswagen,Volkswagen Taigun1.0 TSI Topline AT BSVI,2022,"13,000kms",Petrol,Automatic,₹14.75 Lakh,chennai
Maruti,Maruti XL6Alpha BSVI,2022,"25,000kms",Petrol,Manual,₹10.90 Lakh,chennai
Skoda,Skoda Kushaq1.5 TSI Style DSG,2022,"40,724kms",Petrol,Automatic,₹13.75 Lakh,chennai
Hyundai,Hyundai CretaSX Opt IVT BSVI,2021,"17,000kms",Petrol,Automatic,₹14.50 Lakh,chennai
Kia,Kia SonetHTX Turbo DCT BSVI,2023,"15,000kms",Petrol,Automatic,₹10.90 Lakh,chennai
Volkswagen,Volkswagen Taigun1.0 TSI Topline AT BSVI,2022,"13,000kms",Petrol,Automatic,₹14.75 Lakh,chennai
Maruti,Maruti XL6Alpha BSVI,2022,"25,000kms",Petrol,Manual,₹10.90 Lakh,chennai
Skoda,Skoda Kushaq1.5 TSI Style DSG,2022,"40,724kms",Petrol,Automatic,₹13.75 Lakh,chennai
Audi,Audi Q335 TDI Quattro Premium,2014,"1,10,000kms",Diesel,Automatic,₹12.50 Lakh,chennai
Volvo,Volvo XC90D5 AWD,2013,"2,00,000kms",Diesel,Manual,₹10.50 Lakh,chennai
MG,MG HectorSharp DCT,2021,"36,000kms",Petrol,Automatic,₹13 Lakh,chennai
Audi,Audi A635 TDI Premium,2015,"1,13,000kms",Diesel,Automatic,₹11.90 Lakh,chennai
MG,MG AstorSavvy CVT BSVI,2022,"29,000kms",Petrol,Automatic,₹13 Lakh,chennai
Hyundai,Hyundai CretaEX Diesel,2024,"24,000kms",Diesel,Manual,₹12.90 Lakh,chennai
BMW,BMW X5xDrive 30d Expedition,2017,"60,000kms",Diesel,Automatic,₹38.90 Lakh,chennai
BMW,BMW 7 Series740i M Sport,2023,"8,000kms",Petrol,Automatic,₹1.52 Crore,chennai
Mercedes-Benz,Mercedes-Benz M-ClassML 350 CDI,2013,"1,27,000kms",Diesel,Automatic,₹15 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLA4MATIC,2017,"95,200kms",Petrol,Automatic,₹13.50 Lakh,chennai
Audi,Audi Q52.0 TDI,2013,"85,000kms",Diesel,Automatic,₹13.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLA220d 4M BSVI,2022,"10,000kms",Diesel,Automatic,₹42 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLC Coupe300d 4MATIC BSVI,2021,"50,000kms",Diesel,Automatic,₹49.50 Lakh,chennai
BMW,BMW X3xDrive 20d Luxury Line,2020,"71,000kms",Diesel,Automatic,₹37 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLS400d 4MATIC BSVI,2021,"1,06,000kms",Diesel,Automatic,₹75 Lakh,chennai
Audi,Audi Q52.0 TDI,2013,"85,000kms",Diesel,Automatic,₹13.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLA220d 4M BSVI,2022,"10,000kms",Diesel,Automatic,₹42 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLC Coupe300d 4MATIC BSVI,2021,"50,000kms",Diesel,Automatic,₹49.50 Lakh,chennai
BMW,BMW X3xDrive 20d Luxury Line,2020,"71,000kms",Diesel,Automatic,₹37 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLS400d 4MATIC BSVI,2021,"1,06,000kms",Diesel,Automatic,₹75 Lakh,chennai
Volvo,Volvo S60D4 KINETIC,2017,"69,000kms",Diesel,Automatic,₹13.75 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLE300d 4Matic,2023,"17,000kms",Diesel,Automatic,₹78.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLE300d,2023,"16,000kms",Diesel,Automatic,₹83 Lakh,chennai
Maruti,Maruti S CrossZeta,2021,"49,000kms",Petrol,Manual,₹7.95 Lakh,chennai
Kia,Kia SonetGravity Diesel,2024,"19,000kms",Diesel,Manual,₹11.25 Lakh,chennai
Honda,Honda ElevateZX Non RF,2023,"26,129kms",Petrol,Manual,₹16.02 Lakh,chennai
Mercedes-Benz,Mercedes-Benz GLA Class200,2014,"85,000kms",Petrol,Automatic,₹15.50 Lakh,chennai
Volvo,Volvo XC90D5 AWD,2014,"95,000kms",Diesel,Manual,₹15.50 Lakh,chennai
BMW,BMW X6xDrive30d,2011,"1,35,000kms",Diesel,Automatic,₹16 Lakh,chennai
Mercedes-Benz,Mercedes-Benz CLA200 CDI Sport,2017,"28,680kms",Diesel,Automatic,₹19 Lakh,chennai
Jeep,Jeep Compass2.0 Limited Plus 4X4,2020,"50,000kms",Diesel,Manual,₹15.75 Lakh,chennai
Audi,Audi Q32.0 TDI WCI,2013,"1,05,000kms",Diesel,Automatic,₹9.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-ClassE 220d,2024,"4,000kms",Diesel,Automatic,₹76 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-ClassExpression E 200,2022,"35,000kms",Petrol,Automatic,₹54.50 Lakh,chennai
Kia,Kia CarensPrestige Plus DCT,2023,"4,955kms",Petrol,Automatic,₹12.41 Lakh,chennai
Jeep,Jeep Compass2.0 Limited Plus 4X4,2020,"50,000kms",Diesel,Manual,₹15.75 Lakh,chennai
Audi,Audi Q32.0 TDI WCI,2013,"1,05,000kms",Diesel,Automatic,₹9.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-ClassE 220d,2024,"4,000kms",Diesel,Automatic,₹76 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-ClassExpression E 200,2022,"35,000kms",Petrol,Automatic,₹54.50 Lakh,chennai
Kia,Kia CarensPrestige Plus DCT,2023,"4,955kms",Petrol,Automatic,₹12.41 Lakh,chennai
Ford,Ford Ecosport1.5 Petrol Titanium Plus AT BSIV,2020,"48,073kms",Petrol,Automatic,₹6.65 Lakh,chennai
MG,MG GlosterSharp 6-Str,2021,"57,442kms",Diesel,Automatic,₹27 Lakh,chennai
Jaguar,Jaguar XF2.0 Diesel Pure,2020,"60,000kms",Diesel,Automatic,₹30 Lakh,chennai
Skoda,Skoda SuperbLaurin & klement BSVI,2021,"60,000kms",Petrol,Automatic,₹25.99 Lakh,chennai
Volkswagen,Volkswagen Tiguan2.0 TDI Comfortline,2019,"79,000kms",Diesel,Automatic,₹21 Lakh,chennai
Volvo,Volvo XC90D5 R-Design,2017,"1,25,000kms",Diesel,Automatic,₹30 Lakh,chennai
Skoda,Skoda OctaviaRS,2018,"57,000kms",Petrol,Automatic,₹25 Lakh,chennai
Audi,Audi A4Technology,2021,"34,000kms",Petrol,Automatic,₹30 Lakh,chennai
Tata,Tata AltrozXE Plus,2023,"19,122kms",Petrol,Manual,₹6.50 Lakh,chennai
Jaguar,Jaguar XF2.0 Diesel Prestige,2019,"1,45,100kms",Diesel,Automatic,₹14.50 Lakh,chennai
Audi,Audi A435 TFSi Premium,2015,"78,000kms",Petrol,Automatic,₹10.90 Lakh,chennai
Lexus,Lexus NX300h Exquisite,2021,"15,000kms",Petrol,Automatic,₹52.50 Lakh,chennai
Jeep,Jeep Grand CherokeeSummit Petrol,2018,"84,000kms",Petrol,Automatic,₹33 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-ClassExpression E 220d,2022,"21,000kms",Diesel,Automatic,₹52 Lakh,chennai
BMW,BMW 3 Series320d Luxury Line,2021,"52,000kms",Diesel,Automatic,₹35 Lakh,chennai
Audi,Audi A435 TFSi Premium,2015,"78,000kms",Petrol,Automatic,₹10.90 Lakh,chennai
Lexus,Lexus NX300h Exquisite,2021,"15,000kms",Petrol,Automatic,₹52.50 Lakh,chennai
